Invoice_ID,Customer_ID,Invoice_Date,Due_Date,Payment_Date,Amount_Billed,Discount,Amount_Received,Payment_Method,Salesperson_ID,Region,Is_Duplicate,Is_Leaked,Leakage_Type
INV00155,CUST0195,2023-04-11,2023-05-26,2023-06-19,24123,0.0,24123.0,Card,SP003,East,0,0,
INV00156,CUST0065,2023-11-11,2023-12-11,2023-12-11,22260,0.0,22260.0,Card,SP017,North,1,1,Duplicate
INV00157,CUST0169,2023-05-30,2023-07-14,2023-07-11,31900,0.0,31900.0,Card,SP002,South,0,0,
INV00158,CUST0133,2023-12-16,2024-01-15,2024-01-15,15589,3367.95,12221.05,Card,SP015,North,0,1,Over-discount
INV00159,CUST0053,2023-08-31,2023-09-30,,40358,0.0,0.0,Bank Transfer,SP010,West,0,1,Missing Payment
INV00160,CUST0179,2023-08-11,2023-09-10,,21389,0.0,0.0,UPI,SP020,South,0,1,Missing Payment
INV00161,CUST0182,2023-01-04,2023-01-19,2023-01-17,27350,2735.0,24615.0,UPI,SP018,West,0,0,
INV00162,CUST0024,2023-03-03,2023-03-18,2023-03-17,43328,0.0,43328.0,Card,SP004,South,0,0,
INV00163,CUST0128,2023-06-22,2023-08-06,,37043,0.0,0.0,Cash,SP014,West,0,1,Missing Payment
INV00164,CUST0121,2023-11-20,2023-12-05,2023-12-17,31386,0.0,31386.0,Bank Transfer,SP013,South,0,0,
INV00165,CUST0154,2023-02-16,2023-04-02,2023-03-29,7048,0.0,7048.0,Bank Transfer,SP003,East,0,0,
INV00166,CUST0198,2023-05-19,2023-06-18,2023-06-18,37254,0.0,37254.0,Cash,SP001,East,0,0,
INV00167,CUST0186,2023-06-27,2023-07-27,2023-07-26,5009,0.0,5009.0,Card,SP005,West,0,0,
INV00168,CUST0138,2023-01-13,2023-02-12,2023-02-08,10287,1028.7,9258.3,Cash,SP018,West,0,0,
INV00169,CUST0117,2023-11-25,2023-12-25,2023-12-23,24216,0.0,24216.0,Bank Transfer,SP019,West,0,0,
INV00170,CUST0060,2023-04-04,2023-05-04,2023-05-04,47078,0.0,44165.43,Cash,SP016,West,0,1,Underpayment
INV00171,CUST0099,2023-11-30,2024-01-14,2024-01-14,6908,0.0,6908.0,Bank Transfer,SP016,North,1,1,Duplicate
INV00172,CUST0033,2023-03-17,2023-05-01,2023-05-23,13162,0.0,13162.0,Cash,SP004,West,0,0,
INV00173,CUST0026,2023-03-01,2023-04-15,2023-04-15,10951,0.0,8574.75,UPI,SP005,West,0,1,Underpayment
INV00174,CUST0168,2023-11-12,2023-11-27,2023-11-25,28325,0.0,28325.0,Card,SP009,East,0,0,
INV00175,CUST0160,2023-03-19,2023-05-03,2023-05-02,45345,6801.75,38543.25,UPI,SP011,West,0,0,
INV00176,CUST0082,2023-03-30,2023-05-14,2023-06-02,48303,0.0,48303.0,Card,SP018,North,0,0,
INV00177,CUST0159,2023-05-05,2023-05-20,2023-05-20,11565,0.0,11565.0,Cash,SP008,North,0,0,
INV00178,CUST0112,2023-06-02,2023-06-17,2023-06-13,7192,1798.0,5394.0,UPI,SP015,South,0,0,
INV00179,CUST0178,2023-04-14,2023-05-14,2023-05-12,31727,0.0,31727.0,UPI,SP011,North,0,0,
INV00180,CUST0076,2023-06-28,2023-07-28,2023-07-24,29519,0.0,29519.0,Card,SP005,South,0,0,
INV00181,CUST0136,2023-10-16,2023-11-15,2023-11-15,30053,6010.6,23163.210000000003,Bank Transfer,SP006,South,0,1,Underpayment
INV00182,CUST0021,2023-04-07,2023-05-22,2023-05-26,49028,0.0,49028.0,Bank Transfer,SP016,South,0,0,
INV00183,CUST0060,2023-03-27,2023-04-26,2023-04-26,37265,0.0,36507.71,Cash,SP015,East,0,1,Underpayment
INV00184,CUST0171,2023-06-08,2023-06-23,2023-06-19,34486,5172.9,29313.1,Cash,SP018,South,0,0,
INV00185,CUST0019,2023-05-16,2023-06-15,2023-06-15,19382,0.0,18851.49,Cash,SP014,East,0,1,Underpayment
INV00186,CUST0117,2023-04-25,2023-05-25,2023-06-21,44666,0.0,44666.0,Card,SP016,North,0,0,
INV00187,CUST0061,2023-03-10,2023-04-09,2023-04-09,10779,0.0,10779.0,Cash,SP019,East,1,1,Duplicate
INV00188,CUST0180,2023-02-07,2023-03-09,2023-03-07,49165,0.0,49165.0,Card,SP009,North,0,0,
INV00189,CUST0145,2023-08-06,2023-09-20,2023-09-20,15380,0.0,15380.0,UPI,SP020,West,0,0,
INV00190,CUST0074,2023-04-21,2023-05-06,2023-05-06,31215,6243.0,24972.0,Cash,SP008,South,1,1,Duplicate
INV00191,CUST0159,2023-12-22,2024-01-21,2024-01-21,20343,0.0,20343.0,Bank Transfer,SP004,North,1,1,Duplicate
INV00192,CUST0080,2023-11-24,2023-12-24,2024-01-19,5126,0.0,5126.0,Cash,SP005,North,0,0,
INV00193,CUST0076,2023-02-20,2023-03-22,2023-03-22,44964,0.0,42187.28,Card,SP006,South,0,1,Underpayment
INV00194,CUST0034,2023-09-14,2023-10-29,2023-10-26,16053,0.0,16053.0,Cash,SP006,East,0,0,
INV00195,CUST0124,2023-07-01,2023-07-31,2023-07-29,24256,0.0,24256.0,Cash,SP004,West,0,0,
INV00196,CUST0020,2023-05-29,2023-06-13,2023-06-10,16694,0.0,16694.0,Card,SP018,East,0,0,
INV00197,CUST0024,2023-11-09,2023-12-09,2023-12-06,41980,0.0,41980.0,Cash,SP018,North,0,0,
INV00198,CUST0117,2023-01-25,2023-02-24,2023-02-23,39393,9848.25,29544.75,Cash,SP019,West,0,0,
INV00199,CUST0164,2023-12-13,2024-01-12,2024-01-10,41368,0.0,41368.0,Bank Transfer,SP016,North,0,0,
INV00200,CUST0159,2023-06-28,2023-08-12,2023-08-12,6990,0.0,6990.0,Bank Transfer,SP003,West,0,0,
INV00201,CUST0180,2023-06-26,2023-07-26,2023-08-23,42148,0.0,42148.0,Card,SP004,South,0,0,
INV00202,CUST0012,2023-02-18,2023-03-05,2023-03-02,9944,994.4,8949.6,Card,SP004,North,0,0,
INV00203,CUST0061,2023-03-04,2023-04-18,2023-04-14,14916,0.0,14916.0,Card,SP015,East,0,0,
INV00204,CUST0172,2023-08-03,2023-09-17,2023-09-17,7482,1803.37,5678.63,Card,SP019,South,0,1,Over-discount
INV00205,CUST0107,2023-10-12,2023-11-26,2023-11-24,32952,0.0,32952.0,Card,SP020,West,0,0,
INV00206,CUST0072,2023-01-18,2023-02-02,2023-02-01,38536,0.0,38536.0,Cash,SP007,West,0,0,
INV00207,CUST0114,2023-04-23,2023-05-08,2023-05-08,31737,0.0,30979.55,UPI,SP012,East,0,1,Underpayment
INV00208,CUST0016,2023-09-21,2023-10-21,2023-10-20,17342,1734.2,15607.8,Bank Transfer,SP004,West,0,0,
INV00209,CUST0024,2023-06-11,2023-07-26,2023-08-24,21438,0.0,21438.0,UPI,SP002,East,0,0,
INV00210,CUST0063,2023-01-08,2023-01-23,2023-01-19,15998,0.0,15998.0,Bank Transfer,SP003,South,0,0,
INV00211,CUST0151,2023-11-24,2023-12-09,2023-12-09,36480,0.0,36480.0,Cash,SP005,North,0,0,
INV00212,CUST0071,2023-04-02,2023-04-17,2023-04-17,40822,0.0,37850.18,Cash,SP006,North,0,1,Underpayment
INV00213,CUST0170,2023-10-15,2023-10-30,2023-10-30,23922,1196.1,22725.9,UPI,SP012,South,1,1,Duplicate
INV00214,CUST0151,2023-07-01,2023-07-31,2023-07-31,26389,5346.42,21042.58,Bank Transfer,SP009,North,0,1,Over-discount
INV00215,CUST0033,2023-09-20,2023-11-04,2023-10-31,21032,0.0,21032.0,UPI,SP003,West,0,0,
INV00216,CUST0115,2023-02-05,2023-03-07,2023-03-07,36419,0.0,36419.0,UPI,SP015,South,1,1,Duplicate
INV00217,CUST0158,2023-07-16,2023-07-31,2023-07-31,27419,0.0,26011.35,Cash,SP015,North,0,1,Underpayment
INV00218,CUST0016,2023-04-29,2023-05-29,2023-05-29,19596,0.0,18189.11,Card,SP004,West,0,1,Underpayment
INV00219,CUST0183,2023-02-22,2023-03-24,,12083,0.0,0.0,UPI,SP011,South,0,1,Missing Payment
INV00220,CUST0017,2023-12-30,2024-01-14,2024-02-10,34975,0.0,34975.0,Cash,SP013,East,0,0,
INV00221,CUST0117,2023-08-03,2023-09-17,2023-09-17,25607,0.0,25607.0,Card,SP004,North,0,0,
INV00222,CUST0168,2023-01-14,2023-02-28,2023-03-07,17808,0.0,17808.0,Bank Transfer,SP014,West,0,0,
INV00223,CUST0059,2023-07-20,2023-08-19,,22685,2268.5,0.0,Card,SP013,West,0,1,Missing Payment
INV00224,CUST0187,2023-01-29,2023-02-13,2023-02-19,16372,0.0,16372.0,Card,SP011,East,0,0,
INV00225,CUST0096,2023-05-26,2023-06-10,2023-06-10,31665,0.0,31665.0,Card,SP003,North,0,0,
